apartment_sale_PSF_PPU_mean,apartment_sale_PricePerLandSqFt_mean,apartment_sale_PSF_PPU_median,apartment_sale_PricePerLandSqFt_median,office_sale_PSF_PPU_mean,office_sale_PricePerLandSqFt_mean,office_sale_PSF_PPU_median,office_sale_PricePerLandSqFt_median,apartment_refinance_PSF_PPU_mean,apartment_refinance_PricePerLandSqFt_mean,apartment_refinance_PSF_PPU_median,apartment_refinance_PricePerLandSqFt_median,office_ref_PSF_PPU_mean,office_ref_PricePerLandSqFt_mean,office_ref_PSF_PPU_median,office_ref_PricePerLandSqFt_median,fips
251263.2222,198.1455556,247826.1,212.766,380.2649714,175.7699429,299.3833,121.9929,368509.7,331.7212,356785.7,326.7753,225.7211,159.0657333,230.7692,162.4638,6013350000
309107.125,153.007375,294047.6,151.94595,,,,,228750,124.6741,228750,124.6741,,,,,6013352201
213858.725,116.325825,216230.95,104.65845,,,,,,,,,,,,,6013359102
157837.8,88.144,175972.2,84.7104,,,,,195852.3,98.39156667,184545.5,112.6948,,,,,6013360200
243187.8333,77.0496,222222.2,80.7316,,,,,302777.8,83.4099,302777.8,83.4099,,,,,6013363000
186083.35,70.69905,186083.35,70.69905,122.78765,32.147825,125.29365,30.63795,259025.6667,106.9302667,253373,102.5172,73.4862,24.7216,73.4862,24.7216,6013365003
99750.63,82.7274,99750.63,82.7274,,,,,,,,,,,,,6013367100
147222.2,90.934,147222.2,90.934,,,,,,,,,,,,,6013367200
199687.5,188.0629,199687.5,188.0629,,,,,225000,120.4013,225000,120.4013,,,,,6013368001
158090.275,87.9241,159930.55,74.65985,,,,,,,,,,,,,6013369002
114815.675,109.45035,130287.9,112.62205,,,,,25252.53,9.332,25252.53,9.332,,,,,6013377000
193541.1,269.015,193541.1,269.015,,,,,,,,,,,,,6013382000
364285.7,510,364285.7,510,,,,,261585.1333,202.1066333,267857.2,239.485,,,,,6013386000
270632.58,211.33248,289622.7,211.4325,,,,,258753.175,230.60575,277234.85,232.1584,,,,,6013387000
249722.2,234.822,249722.2,234.822,198.30732,98.58284,186.208,107.8949,,,,,133.7228,46.9014,133.7228,46.9014,6041102203
275625,290.2013,275625,290.2013,,,,,286666.6667,496.3401833,282500,494.7847,,,,,6041104101
267284.2667,299.1026,256376.85,291.1765,270.2162667,173.9154667,240.5517,193.6983,239120.0111,161.5142667,279591.8,142.4457,,,,,6041108200
362812.5,227.29055,362812.5,227.29055,,,,,271150.075,261.266175,275694.45,265.85025,,,,,6041109001
264166.6667,226.5699333,265000,257.8072,320.370975,282.137,347.1468,247.2197,412500,281.1393,412500,281.1393,,,,,6041110100
304926.975,218.570225,304464.3,242.9599,545.73155,714.520725,347.03325,526.0709,304200.1,360.7916,299218.8,293.0823,814.92825,728.4405,814.92825,728.4405,6041111000
283950.9,190.8642667,235609.8,205.1468,370.2607,597.8344,370.2607,597.8344,122222.2,116.1042,122222.2,116.1042,,,,,6041112202
191638.05,112.47865,191638.05,112.47865,,,,,,,,,,,,,6041114200
280666.6667,154.8328,257500,132.8525,,,,,,,,,,,,,6041117000
268928.55,198.11025,268928.55,198.11025,,,,,,,,,,,,,6041119100
343750,195.6808,343750,195.6808,824.67295,481.6991125,756.582,361.01105,373684.2,162.9936,373684.2,162.9936,557.8947,183.3149,557.8947,183.3149,6041119201
210000,96.4187,210000,96.4187,,,,,333333.35,198.494,333333.35,198.494,,,,,6041120000
295071.2667,102.8761,321875,70.2559,383.7334,125.1528,383.7334,125.1528,418750.98,177.74848,388888.9,118.6763,339.0856,116.4031,339.0856,116.4031,6041121100
770454.6,163.0153,770454.6,163.0153,,,,,,,,,,,,,6041123000
338885.1667,250.3382,276500,186.3555,659.7718,314.5937,659.7718,314.5937,279166.7,105.9473,279166.7,105.9473,,,,,6041124100
358417.4667,388.9481333,350952.4,342.0589,533.8782,136.60545,533.8782,136.60545,266968.35,109.1365,266968.35,109.1365,421.6846,99.8591,421.6846,99.8591,6041125000
356944.4,233.5514,356944.4,233.5514,632.5231,244.94935,632.5231,244.94935,,,,,469.4836,165.2528,469.4836,165.2528,6041126100
323000,146.8182,323000,146.8182,,,,,,,,,548.2456,201.3423,548.2456,201.3423,6041127000
517877,644.0349333,551071.4,540.6068,539.9784,233.8261,539.9784,233.8261,428571.4,322.8306,428571.4,322.8306,,,,,6041130201
151867.5,96.457,151867.5,96.457,,,,,,,,,,,,,6055200301
324722.2,270.98905,324722.2,270.98905,322.2524,126.429,322.2524,126.429,,,,,,,,,6055200501
195486.1,107.7058,195486.1,107.7058,312,162.7883,312,162.7883,167083.3,92.0569,167083.3,92.0569,,,,,6055200504
254464.3,159.1952,254464.3,159.1952,,,,,268405.8,65.6357,268405.8,65.6357,,,,,6055200505
271092.2,120.4009,271092.2,120.4009,,,,,187719.1667,168.4937,139130.4,178.7571,,,,,6055200707
258500,126.2653,258500,126.2653,,,,,,,,,,,,,6055202000
415030.3,913.65972,406818.2,868.4273,564.1593,2256.637,564.1593,2256.637,496078.875,1859.72515,463333.35,1846.9185,,,,,6075010400
406250,3019.043,406250,3019.043,623.3419219,3999.795603,583.02295,4064.6015,216030.5,2361.94915,194142.8,2653.5135,521.5549054,3670.193814,519.7505,3650.173,6075011700
